tick;clientPing;localShotTime;confirmTime;latencyMs;lagComp
1233;319;29,4605045280612;30,0806679280045;620,16;True
1580;168;35,0824347293084;35,8595423256803;777,11;True
2129;316;44,2516438279478;45,006296031746;754,65;True
2165;172;45,2475654265873;45,5950598285147;347,49;True
2669;259;53,670702026644;54,0141299319728;343,43;True
2867;278;56,9683178287982;57,300525127551;332,21;True
3186;167;61,9567545280612;62,6163781320862;659,62;True
3423;253;66,1934204294218;66,5752574263038;381,84;True
3671;167;70,0427747307256;70,706159332483;663,38;True
4251;334;79,9552680272109;80,3716266298186;416,36;True
4594;215;85,4184910289116;86,0884173256803;669,93;True
4678;165;86,8353398313492;87,4858409297052;650,50;True
4978;165;91,8078832270408;92,4902236323696;682,34;True
5056;164;93,1686048256803;93,7952671272676;626,66;True
5492;272;100,516432929422;101,060309126984;543,88;True
5629;317;102,717240029762;103,338181526361;620,94;True
